,郵便番号,full_name,緯度,経度
241,9042141,沖縄県沖縄市池原,26.386789,127.829579
242,9040031,沖縄県沖縄市上地,26.335864,127.793603
243,9042163,沖縄県沖縄市大里,26.328416,127.819997
244,9042162,沖縄県沖縄市海邦,26.329067,127.845471
245,9042162,沖縄県沖縄市海邦町,26.329067,127.845471
246,9040005,沖縄県沖縄市嘉間良,26.344849,127.805936
247,9040023,沖縄県沖縄市久保田,26.323729,127.797402
248,9042145,沖縄県沖縄市倉敷,26.345421,127.82414
249,9042161,沖縄県沖縄市古謝,26.338284,127.83074
250,9042166,沖縄県沖縄市古謝津嘉山町,26.342059,127.829495
251,9040001,沖縄県沖縄市越来,26.347336,127.809725
252,9040021,沖縄県沖縄市胡屋,26.336127,127.802168
253,9042175,沖縄県沖縄市潮乃森,26.302455,127.838136
254,9042144,沖縄県沖縄市白川,26.345421,127.82414
255,9040002,沖縄県沖縄市城前町,26.340571,127.813031
256,9040003,沖縄県沖縄市住吉,26.339623,127.806322
257,9040022,沖縄県沖縄市園田,26.330653,127.798234
258,9042171,沖縄県沖縄市高原,26.319955,127.824075
259,9042143,沖縄県沖縄市知花,26.358937,127.810896
260,9040004,沖縄県沖縄市中央,26.33708,127.799783
261,9040011,沖縄県沖縄市照屋,26.336986,127.815314
262,9042164,沖縄県沖縄市桃原,26.335263,127.824591
263,9040014,沖縄県沖縄市仲宗根町,26.334316,127.80404
264,9042142,沖縄県沖縄市登川,26.372521,127.823372
265,9042154,沖縄県沖縄市東,26.345421,127.82414
266,9042173,沖縄県沖縄市比屋根,26.312681,127.824931
267,9042151,沖縄県沖縄市松本,26.355237,127.807906
268,9042153,沖縄県沖縄市美里,26.351792,127.811095
269,9042156,沖縄県沖縄市美里仲原町,26.346538,127.827197
270,9040035,沖縄県沖縄市南桃原,26.319013,127.785207
271,9042155,沖縄県沖縄市美原,26.347721,127.821448
272,9042165,沖縄県沖縄市宮里,26.338031,127.81701
273,9040013,沖縄県沖縄市室川,26.334279,127.808472
274,9040032,沖縄県沖縄市諸見里,26.330705,127.792562
275,9040006,沖縄県沖縄市八重島,26.347803,127.806036
276,9040034,沖縄県沖縄市山内,26.32338,127.785852
277,9040033,沖縄県沖縄市山里,26.320404,127.788042
278,9042174,沖縄県沖縄市与儀,26.308425,127.81654
279,9010200,沖縄県豊見城市以下に掲載がない場合,26.16731,127.658747
280,9010232,沖縄県豊見城市伊良波,26.16731,127.658747
281,9010243,沖縄県豊見城市上田,26.16731,127.658747
282,9010223,沖縄県豊見城市翁長,26.16731,127.658747
283,9010202,沖縄県豊見城市嘉数,26.16731,127.658747
284,9010231,沖縄県豊見城市我那覇,26.16731,127.658747
285,9010204,沖縄県豊見城市金良,26.16731,127.658747
286,9010244,沖縄県豊見城市宜保,26.178144,127.679488
287,9010221,沖縄県豊見城市座安,26.16731,127.658747
288,9010233,沖縄県豊見城市瀬長,26.16731,127.658747
289,9010212,沖縄県豊見城市平良,26.16731,127.658747
290,9010213,沖縄県豊見城市高嶺,26.16731,127.658747
291,9010242,沖縄県豊見城市高安,26.16731,127.658747
292,9010234,沖縄県豊見城市田頭,26.16731,127.658747
293,9010215,沖縄県豊見城市渡嘉敷,26.16731,127.658747
294,9010222,沖縄県豊見城市渡橋名,26.16731,127.658747
295,9010241,沖縄県豊見城市豊見城,26.16731,127.658747
296,9010225,沖縄県豊見城市豊崎,26.16731,127.658747
297,9010235,沖縄県豊見城市名嘉地,26.16731,127.658747
298,9010203,沖縄県豊見城市長堂,26.16731,127.658747
299,9010205,沖縄県豊見城市根差部,26.16731,127.658747
300,9010211,沖縄県豊見城市饒波,26.16731,127.658747
301,9010214,沖縄県豊見城市保栄茂,26.16731,127.658747
302,9010201,沖縄県豊見城市真玉橋,26.16731,127.658747
303,9010224,沖縄県豊見城市与根,26.16731,127.658747
304,9042200,沖縄県うるま市以下に掲載がない場合,26.332998,127.877681
305,9042212,沖縄県うるま市赤野,26.332998,127.877681
306,9042245,沖縄県うるま市赤道,26.332998,127.877681
307,9042214,沖縄県うるま市安慶名,26.377266,127.850568
308,9041106,沖縄県うるま市石川,26.419623,127.828403
309,9041103,沖縄県うるま市石川赤崎,26.429392,127.840248
310,9041102,沖縄県うるま市石川東山,26.435839,127.830947
311,9041101,沖縄県うるま市石川東山本町,26.435839,127.830947
312,9041107,沖縄県うるま市石川曙,26.419623,127.828403
313,9041104,沖縄県うるま市石川石崎,26.426156,127.829321
314,9041115,沖縄県うるま市石川伊波,26.425597,127.811208
315,9041114,沖縄県うるま市石川嘉手苅,26.422076,127.807505
316,9041105,沖縄県うるま市石川白浜,26.429433,127.828765
317,9041112,沖縄県うるま市石川楚南,26.400536,127.812352
318,9041111,沖縄県うるま市石川東恩納,26.416703,127.837423
319,9041108,沖縄県うるま市石川東恩納崎,26.416703,127.837423
320,9041113,沖縄県うるま市石川山城,26.412997,127.80416
321,9042204,沖縄県うるま市西原,26.332998,127.877681
322,9042222,沖縄県うるま市上江洲,26.332998,127.877681
323,9042211,沖縄県うるま市宇堅,26.332998,127.877681
324,9042244,沖縄県うるま市江洲,26.332998,127.877681
325,9042205,沖縄県うるま市栄野比,26.332998,127.877681
326,9042224,沖縄県うるま市大田,26.332998,127.877681
327,9042313,沖縄県うるま市勝連内間,26.314422,127.900807
328,9042317,沖縄県うるま市勝連津堅,26.252115,127.942203
329,9042311,沖縄県うるま市勝連南風原,26.332998,127.877681
330,9042315,沖縄県うるま市勝連浜,26.320984,127.953648
331,9042316,沖縄県うるま市勝連比嘉,26.318333,127.959749
332,9042314,沖縄県うるま市勝連平敷屋,26.304394,127.912465
333,9042312,沖縄県うるま市勝連平安名,26.316901,127.892694
334,9042241,沖縄県うるま市兼箇段,26.332998,127.877681
335,9042203,沖縄県うるま市川崎,26.332998,127.877681
336,9042232,沖縄県うるま市川田,26.332998,127.877681
337,9042236,沖縄県うるま市喜仲,26.356447,127.843497
338,9042225,沖縄県うるま市喜屋武,26.356447,127.843497
339,9042223,沖縄県うるま市具志川,26.332998,127.877681
340,9042201,沖縄県うるま市昆布,26.332998,127.877681
341,9042231,沖縄県うるま市塩屋,26.332998,127.877681
342,9042234,沖縄県うるま市州崎,26.332998,127.877681
343,9042221,沖縄県うるま市平良川,26.332998,127.877681
344,9042242,沖縄県うるま市高江洲,26.332998,127.877681
345,9042213,沖縄県うるま市田場,26.332998,127.877681
346,9042202,沖縄県うるま市天願,26.332998,127.877681
347,9042233,沖縄県うるま市豊原,26.332998,127.877681
348,9042226,沖縄県うるま市仲嶺,26.332998,127.877681
349,9042235,沖縄県うるま市前原,26.332998,127.877681
350,9042215,沖縄県うるま市みどり町,26.375507,127.859198
351,9042243,沖縄県うるま市宮里,26.332998,127.877681
352,9042303,沖縄県うるま市与那城,26.391472,127.995315
353,9042306,沖縄県うるま市与那城安勢理,26.315775,127.905527
354,9042421,沖縄県うるま市与那城伊計,26.391472,127.995315
355,9042422,沖縄県うるま市与那城池味,26.378646,127.986301
356,9042424,沖縄県うるま市与那城上原,26.370738,127.977716
357,9042305,沖縄県うるま市与那城中央,26.3292,127.90566
358,9042301,沖縄県うるま市与那城照間,26.338803,127.886642
359,9042425,沖縄県うるま市与那城桃原,26.358455,127.976222
360,9042302,沖縄県うるま市与那城西原,26.330432,127.886667
361,9042307,沖縄県うるま市与那城饒辺,26.314093,127.913397
362,9042428,沖縄県うるま市与那城平宮,26.353754,127.966947
363,9042426,沖縄県うるま市与那城平安座,26.349798,127.95429
364,9042423,沖縄県うるま市与那城宮城,26.367086,127.989363
365,9042304,沖縄県うるま市与那城屋慶名,26.324285,127.905662
366,9042427,沖縄県うるま市与那城屋平,26.331746,127.929245
367,9060000,沖縄県宮古島市以下に掲載がない場合,24.756914,125.384528
368,9060502,沖縄県宮古島市伊良部池間添,24.835268,125.186042
369,9060503,沖縄県宮古島市伊良部伊良部,24.835268,125.186042
370,9060505,沖縄県宮古島市伊良部国仲,24.835268,125.186042
371,9060507,沖縄県宮古島市伊良部佐和田,24.835268,125.186042
372,9060504,沖縄県宮古島市伊良部仲地,24.835268,125.186042
373,9060506,沖縄県宮古島市伊良部長浜,24.835268,125.186042
374,9060501,沖縄県宮古島市伊良部前里添,24.835268,125.186042
375,9060204,沖縄県宮古島市上野上野,24.74167,125.327333
376,9060202,沖縄県宮古島市上野新里,24.74167,125.327333
377,9060201,沖縄県宮古島市上野野原,24.74167,125.327333
378,9060203,沖縄県宮古島市上野宮国,24.74167,125.327333
379,9060102,沖縄県宮古島市城辺新城,24.756914,125.384528
380,9060108,沖縄県宮古島市城辺砂川,24.756914,125.384528
381,9060109,沖縄県宮古島市城辺下里添,24.756914,125.384528
382,9060107,沖縄県宮古島市城辺友利,24.756914,125.384528
383,9060105,沖縄県宮古島市城辺長間,24.756914,125.384528
384,9060106,沖縄県宮古島市城辺西里添,24.756914,125.384528
385,9060104,沖縄県宮古島市城辺比嘉,24.756914,125.384528
386,9060103,沖縄県宮古島市城辺福里,24.756914,125.384528
387,9060101,沖縄県宮古島市城辺保良,24.756914,125.384528
388,9060304,沖縄県宮古島市下地上地,24.744713,125.280446
389,9060302,沖縄県宮古島市下地嘉手苅,24.744713,125.280446
